state,suspectubility,territory_code_per_location,rate
arkansas,low,111,0.267
arkansas,average,111,0.374
arkansas,high,111,0.445
arkansas,low,112,0.267
arkansas,average,112,0.374
arkansas,high,112,0.445
arkansas,low,122,0.213
arkansas,average,122,0.298
arkansas,high,122,0.355
arkansas,low,131,0.223
arkansas,average,131,0.312
arkansas,high,131,0.371
arkansas,low,132,0.223
arkansas,average,132,0.312
arkansas,high,132,0.371
colorado,low,111,0.095
colorado,average,111,0.131
colorado,high,111,0.156
colorado,low,112,0.095
colorado,average,112,0.131
colorado,high,112,0.156
colorado,low,113,0.095
colorado,average,113,0.131
colorado,high,113,0.156
colorado,low,114,0.095
colorado,average,114,0.131
colorado,high,114,0.156
colorado,low,124,0.092
colorado,average,124,0.126
colorado,high,124,0.15
colorado,low,133,0.079
colorado,average,133,0.109
colorado,high,133,0.129
colorado,low,134,0.079
colorado,average,134,0.109
colorado,high,134,0.129
georgia,low,111,0.175
georgia,average,111,0.243
georgia,high,111,0.29
georgia,low,112,0.175
georgia,average,112,0.243
georgia,high,112,0.29
georgia,low,113,0.175
georgia,average,113,0.243
georgia,high,113,0.29
georgia,low,114,0.175
georgia,average,114,0.243
georgia,high,114,0.29
georgia,low,122,0.184
georgia,average,122,0.257
georgia,high,122,0.305
georgia,low,123,0.184
georgia,average,123,0.257
georgia,high,123,0.305
georgia,low,124,0.184
georgia,average,124,0.257
georgia,high,124,0.305
georgia,low,133,0.153
georgia,average,133,0.213
georgia,high,133,0.253
georgia,low,134,0.153
georgia,average,134,0.213
georgia,high,134,0.253
illinois,low,111,0.091
illinois,average,111,0.126
illinois,high,111,0.149
illinois,low,112,0.091
illinois,average,112,0.126
illinois,high,112,0.149
illinois,low,113,0.091
illinois,average,113,0.126
illinois,high,113,0.149
illinois,low,114,0.091
illinois,average,114,0.126
illinois,high,114,0.149
illinois,low,121,0.077
illinois,average,121,0.106
illinois,high,121,0.125
illinois,low,122,0.077
illinois,average,122,0.106
illinois,high,122,0.125
illinois,low,123,0.077
illinois,average,123,0.106
illinois,high,123,0.125
illinois,low,124,0.077
illinois,average,124,0.106
illinois,high,124,0.125
illinois,low,132,0.072
illinois,average,132,0.098
illinois,high,132,0.116
illinois,low,134,0.072
illinois,average,134,0.098
illinois,high,134,0.116
illinois,low,144,0.129
illinois,average,144,0.18
illinois,high,144,0.213
indiana,low,111,0.149
indiana,average,111,0.207
indiana,high,111,0.246
indiana,low,112,0.149
indiana,average,112,0.207
indiana,high,112,0.246
indiana,low,113,0.149
indiana,average,113,0.207
indiana,high,113,0.246
indiana,low,121,0.147
indiana,average,121,0.205
indiana,high,121,0.243
indiana,low,131,0.125
indiana,average,131,0.174
indiana,high,131,0.206
indiana,low,133,0.125
indiana,average,133,0.174
indiana,high,133,0.206
iowa,low,111,0.133
iowa,average,111,0.185
iowa,high,111,0.219
iowa,low,112,0.133
iowa,average,112,0.185
iowa,high,112,0.219
iowa,low,113,0.133
iowa,average,113,0.185
iowa,high,113,0.219
iowa,low,121,0.11
iowa,average,121,0.153
iowa,high,121,0.181
iowa,low,122,0.11
iowa,average,122,0.153
iowa,high,122,0.181
iowa,low,123,0.11
iowa,average,123,0.153
iowa,high,123,0.181
kentucky,low,111,0.286
kentucky,average,111,0.4
kentucky,high,111,0.476
kentucky,low,112,0.286
kentucky,average,112,0.4
kentucky,high,112,0.476
kentucky,low,122,0.208
kentucky,average,122,0.29
kentucky,high,122,0.345
kentucky,low,132,0.234
kentucky,average,132,0.327
kentucky,high,132,0.39
kentucky,low,141,0.242
kentucky,average,141,0.338
kentucky,high,141,0.403
kentucky,low,142,0.242
kentucky,average,142,0.338
kentucky,high,142,0.403
minnesota,low,111,0.107
minnesota,average,111,0.148
minnesota,high,111,0.176
minnesota,low,112,0.107
minnesota,average,112,0.148
minnesota,high,112,0.176
minnesota,low,113,0.107
minnesota,average,113,0.148
minnesota,high,113,0.176
minnesota,low,114,0.107
minnesota,average,114,0.148
minnesota,high,114,0.176
minnesota,low,115,0.107
minnesota,average,115,0.148
minnesota,high,115,0.176
minnesota,low,122,0.171
minnesota,average,122,0.238
minnesota,high,122,0.284
minnesota,low,132,0.125
minnesota,average,132,0.174
minnesota,high,132,0.206
minnesota,low,141,0.098
minnesota,average,141,0.135
minnesota,high,141,0.161
minnesota,low,142,0.098
minnesota,average,142,0.135
minnesota,high,142,0.161
minnesota,low,143,0.098
minnesota,average,143,0.135
minnesota,high,143,0.161
minnesota,low,144,0.098
minnesota,average,144,0.135
minnesota,high,144,0.161
minnesota,low,145,0.098
minnesota,average,145,0.135
minnesota,high,145,0.161
missouri,low,111,0.221
missouri,average,111,0.31
missouri,high,111,0.369
missouri,low,112,0.221
missouri,average,112,0.31
missouri,high,112,0.369
missouri,low,113,0.221
missouri,average,113,0.31
missouri,high,113,0.369
missouri,low,122,0.276
missouri,average,122,0.387
missouri,high,122,0.46
missouri,low,123,0.276
missouri,average,123,0.387
missouri,high,123,0.46
montana,low,111,0.176
montana,average,111,0.245
montana,high,111,0.292
montana,low,112,0.176
montana,average,112,0.245
montana,high,112,0.292
montana,low,121,0.147
montana,average,121,0.205
montana,high,121,0.243
montana,low,131,0.157
montana,average,131,0.219
montana,high,131,0.26
nebraska,low,111,0.138
nebraska,average,111,0.19304
nebraska,high,111,0.22904
nebraska,low,112,0.138
nebraska,average,112,0.19304
nebraska,high,112,0.22904
nebraska,low,113,0.138
nebraska,average,113,0.19304
nebraska,high,113,0.22904
nebraska,low,114,0.138
nebraska,average,114,0.19304
nebraska,high,114,0.22904
nebraska,low,122,0.13104
nebraska,average,122,0.18304
nebraska,high,122,0.21704
nebraska,low,131,0.112
nebraska,average,131,0.156
nebraska,high,131,0.184
north_dakota,low,111,0.2
north_dakota,average,111,0.279
north_dakota,high,111,0.331
north_dakota,low,112,0.2
north_dakota,average,112,0.279
north_dakota,high,112,0.331
north_dakota,low,113,0.2
north_dakota,average,113,0.279
north_dakota,high,113,0.331
north_dakota,low,121,0.159
north_dakota,average,121,0.221
north_dakota,high,121,0.263
north_dakota,low,122,0.159
north_dakota,average,122,0.221
north_dakota,high,122,0.263
north_dakota,low,123,0.159
north_dakota,average,123,0.221
north_dakota,high,123,0.263
north_dakota,low,132,0.164
north_dakota,average,132,0.228
north_dakota,high,132,0.272
north_dakota,low,133,0.164
north_dakota,average,133,0.228
north_dakota,high,133,0.272
ohio,low,111,0.103
ohio,average,111,0.142
ohio,high,111,0.169
ohio,low,112,0.103
ohio,average,112,0.142
ohio,high,112,0.169
ohio,low,113,0.103
ohio,average,113,0.142
ohio,high,113,0.169
ohio,low,123,0.075
ohio,average,123,0.102
ohio,high,123,0.121
ohio,low,132,0.069
ohio,average,132,0.094
ohio,high,132,0.111
ohio,low,143,0.16
ohio,average,143,0.223
ohio,high,143,0.265
ohio,low,152,0.1
ohio,average,152,0.138
ohio,high,152,0.165
ohio,low,161,0.083
ohio,average,161,0.114
ohio,high,161,0.135
ohio,low,171,0.121
ohio,average,171,0.169
ohio,high,171,0.2
ohio,low,181,0.094
ohio,average,181,0.13
ohio,high,181,0.155
ohio,low,182,0.094
ohio,average,182,0.13
ohio,high,182,0.155
ohio,low,183,0.094
ohio,average,183,0.13
ohio,high,183,0.155
pennsylvania,low,110,0.092
pennsylvania,average,110,0.127
pennsylvania,high,110,0.15
pennsylvania,low,120,0.113
pennsylvania,average,120,0.157
pennsylvania,high,120,0.186
pennsylvania,low,130,0.121
pennsylvania,average,130,0.168
pennsylvania,high,130,0.199
pennsylvania,low,140,0.194
pennsylvania,average,140,0.272
pennsylvania,high,140,0.323
pennsylvania,low,150,0.07
pennsylvania,average,150,0.096
pennsylvania,high,150,0.113
pennsylvania,low,160,0.085
pennsylvania,average,160,0.117
pennsylvania,high,160,0.138
pennsylvania,low,170,0.092
pennsylvania,average,170,0.127
pennsylvania,high,170,0.15
pennsylvania,low,180,0.106
pennsylvania,average,180,0.146
pennsylvania,high,180,0.174
pennsylvania,low,190,0.099
pennsylvania,average,190,0.137
pennsylvania,high,190,0.163
south_dakota,low,111,0.129
south_dakota,average,111,0.18
south_dakota,high,111,0.213
south_dakota,low,112,0.129
south_dakota,average,112,0.18
south_dakota,high,112,0.213
south_dakota,low,121,0.104
south_dakota,average,121,0.144
south_dakota,high,121,0.172
south_dakota,low,122,0.104
south_dakota,average,122,0.144
south_dakota,high,122,0.172
texas,low,111,0.05714688
texas,average,111,0.07959744
texas,high,111,0.09388416
texas,low,112,0.05714688
texas,average,112,0.07959744
texas,high,112,0.09388416
texas,low,113,0.05714688
texas,average,113,0.07959744
texas,high,113,0.09388416
texas,low,114,0.05714688
texas,average,114,0.07959744
texas,high,114,0.09388416
texas,low,115,0.05714688
texas,average,115,0.07959744
texas,high,115,0.09388416
texas,low,116,0.05714688
texas,average,116,0.07959744
texas,high,116,0.09388416
texas,low,117,0.05714688
texas,average,117,0.07959744
texas,high,117,0.09388416
texas,low,118,0.05714688
texas,average,118,0.07959744
texas,high,118,0.09388416
texas,low,123,0.05000352
texas,average,123,0.06939264
texas,high,123,0.08265888
texas,low,124,0.05000352
texas,average,124,0.06939264
texas,high,124,0.08265888
texas,low,125,0.05000352
texas,average,125,0.06939264
texas,high,125,0.08265888
texas,low,126,0.05000352
texas,average,126,0.06939264
texas,high,126,0.08265888
texas,low,127,0.05000352
texas,average,127,0.06939264
texas,high,127,0.08265888
texas,low,128,0.05000352
texas,average,128,0.06939264
texas,high,128,0.08265888
texas,low,136,0.04898304
texas,average,136,0.06786192
texas,high,136,0.08061792
texas,low,138,0.04898304
texas,average,138,0.06786192
texas,high,138,0.08061792
texas,low,146,0.04796256
texas,average,146,0.0663312
texas,high,146,0.07857696
washington,low,110,0.152
washington,average,110,0.212
washington,high,110,0.251
washington,low,120,0.121
washington,average,120,0.169
washington,high,120,0.2
wyoming,low,111,0.115
wyoming,average,111,0.161
wyoming,high,111,0.19
wyoming,low,112,0.115
wyoming,average,112,0.161
wyoming,high,112,0.19
wyoming,low,113,0.115
wyoming,average,113,0.161
wyoming,high,113,0.19
wyoming,low,114,0.115
wyoming,average,114,0.161
wyoming,high,114,0.19
wyoming,low,122,0.096
wyoming,average,122,0.133
wyoming,high,122,0.158
wyoming,low,123,0.096
wyoming,average,123,0.133
wyoming,high,123,0.158
wyoming,low,124,0.096
wyoming,average,124,0.133
wyoming,high,124,0.158
